Request_Number,Duration
1,0.04900527000427246
2,0.04699254035949707
3,0.04800081253051758
4,0.04710197448730469
5,0.04699969291687012
6,0.047003746032714844
7,0.04699587821960449
8,0.04856252670288086
9,0.047995567321777344
10,0.045999765396118164
11,0.04600048065185547
12,0.04767894744873047
13,0.04700136184692383
14,0.04800128936767578
15,0.047875404357910156
16,0.04657578468322754
17,0.04799985885620117
18,0.046999216079711914
19,0.04768991470336914
20,0.04755449295043945
21,0.047068119049072266
22,0.045999765396118164
23,0.04800009727478027
24,0.04800057411193848
25,0.0465848445892334
26,0.04700064659118652
27,0.046999454498291016
28,0.04700016975402832
29,0.047591209411621094
30,0.04799938201904297
31,0.04700207710266113
32,0.047998666763305664
33,0.04660773277282715
34,0.04796957969665527
35,0.04800081253051758
36,0.0480351448059082
37,0.047960519790649414
38,0.04749131202697754
39,0.04726767539978027
40,0.0477292537689209
41,0.04689955711364746
42,0.04887795448303223
43,0.046999216079711914
44,0.04700350761413574
45,0.047084808349609375
46,0.04619240760803223
47,0.04723811149597168
48,0.04775834083557129
49,0.04712104797363281
50,0.04757356643676758
51,0.047027587890625
52,0.048002004623413086
53,0.04700183868408203
54,0.04853343963623047
55,0.047997474670410156
56,0.048003435134887695
57,0.04703521728515625
58,0.04698348045349121
59,0.04733014106750488
60,0.04756474494934082
61,0.04681134223937988
62,0.04820847511291504
63,0.046527862548828125
64,0.04768633842468262
65,0.04702353477478027
66,0.04815363883972168
67,0.046810150146484375
68,0.04765915870666504
69,0.04788470268249512
70,0.047116994857788086
71,0.04674410820007324
72,0.04839682579040527
73,0.04666852951049805
74,0.04694533348083496
75,0.04732847213745117
76,0.046533823013305664
77,0.047002315521240234
78,0.04602456092834473
79,0.0479731559753418
80,0.047265052795410156
81,0.04629158973693848
82,0.04815983772277832
83,0.04852724075317383
84,0.04883837699890137
85,0.048471689224243164
86,0.04681134223937988
87,0.04686141014099121
88,0.048850297927856445
89,0.047338247299194336
90,0.046768903732299805
91,0.04758119583129883
92,0.04747414588928223
93,0.04859423637390137
94,0.047684431076049805
95,0.04799079895019531
96,0.0465085506439209
97,0.04765057563781738
98,0.046999454498291016
99,0.04700040817260742
100,0.04800057411193848
