Request_Number,Duration
1,0.07060074806213379
2,0.048000335693359375
3,0.046999216079711914
4,0.047000885009765625
5,0.048111677169799805
6,0.0470271110534668
7,0.047003746032714844
8,0.04797005653381348
9,0.04811596870422363
10,0.04897308349609375
11,0.0469965934753418
12,0.04700040817260742
13,0.04699993133544922
14,0.048577308654785156
15,0.04700040817260742
16,0.046999454498291016
17,0.04800105094909668
18,0.04653048515319824
19,0.04799962043762207
20,0.04600119590759277
21,0.04699850082397461
22,0.04854464530944824
23,0.04831671714782715
24,0.04744100570678711
25,0.04663252830505371
26,0.04656505584716797
27,0.047998905181884766
28,0.048000335693359375
29,0.04699897766113281
30,0.04700136184692383
31,0.04759073257446289
32,0.04799795150756836
33,0.04800009727478027
34,0.04800057411193848
35,0.04661250114440918
36,0.04700136184692383
37,0.04746818542480469
38,0.046904802322387695
39,0.04679393768310547
40,0.0481715202331543
41,0.046826839447021484
42,0.04763174057006836
43,0.047373294830322266
44,0.046987295150756836
45,0.04700016975402832
46,0.04799985885620117
47,0.048148393630981445
48,0.046727895736694336
49,0.046027183532714844
50,0.04796791076660156
51,0.04802656173706055
52,0.048209190368652344
53,0.047998905181884766
54,0.04800081253051758
55,0.04702877998352051
56,0.04810833930969238
57,0.04602527618408203
58,0.04800057411193848
59,0.0480046272277832
60,0.046146392822265625
61,0.04607987403869629
62,0.04696822166442871
63,0.04602456092834473
64,0.047217607498168945
65,0.047974348068237305
66,0.04699873924255371
67,0.048002004623413086
68,0.04796767234802246
69,0.04757952690124512
70,0.04815983772277832
71,0.04600834846496582
72,0.04799079895019531
73,0.04858827590942383
74,0.048044681549072266
75,0.04695606231689453
76,0.04703044891357422
77,0.04614400863647461
78,0.05009746551513672
79,0.04790234565734863
80,0.04799985885620117
81,0.04618430137634277
82,0.04801058769226074
83,0.04698920249938965
84,0.04697465896606445
85,0.046762704849243164
86,0.047653913497924805
87,0.04803037643432617
88,0.047968387603759766
89,0.04799985885620117
90,0.04755973815917969
91,0.051026105880737305
92,0.04837918281555176
93,0.04897022247314453
94,0.04730582237243652
95,0.04803061485290527
96,0.04699516296386719
97,0.0480043888092041
98,0.04764437675476074
99,0.04702425003051758
100,0.04697585105895996
