Request_Number,Duration
1,0.049002647399902344
2,0.0469975471496582
3,0.04658198356628418
4,0.04753255844116211
5,0.04701972007751465
6,0.04696846008300781
7,0.04801058769226074
8,0.04792356491088867
9,0.047027587890625
10,0.0469975471496582
11,0.04700922966003418
12,0.0475306510925293
13,0.04699993133544922
14,0.04757952690124512
15,0.04689788818359375
16,0.04637646675109863
17,0.046966552734375
18,0.04800128936767578
19,0.04700207710266113
20,0.047997236251831055
21,0.04655575752258301
22,0.0470278263092041
23,0.04797029495239258
24,0.04599952697753906
25,0.047553062438964844
26,0.046999216079711914
27,0.04700040817260742
28,0.047026872634887695
29,0.04911398887634277
30,0.04696989059448242
31,0.04699993133544922
32,0.047000885009765625
33,0.0485539436340332
34,0.045999765396118164
35,0.04703116416931152
36,0.04899954795837402
37,0.047425270080566406
38,0.04802274703979492
39,0.046973228454589844
40,0.04700136184692383
41,0.04800271987915039
42,0.04755735397338867
43,0.04800057411193848
44,0.046999216079711914
45,0.046999216079711914
46,0.04860687255859375
47,0.04700112342834473
48,0.048000335693359375
49,0.04699826240539551
50,0.04711651802062988
51,0.04699993133544922
52,0.04799914360046387
53,0.04700303077697754
54,0.046997785568237305
55,0.048619747161865234
56,0.04755258560180664
57,0.04799604415893555
58,0.047000885009765625
59,0.04874396324157715
60,0.047768354415893555
61,0.049051523208618164
62,0.04899883270263672
63,0.047086238861083984
64,0.04700040817260742
65,0.045999765396118164
66,0.04800057411193848
67,0.04755353927612305
68,0.04799699783325195
69,0.047000885009765625
70,0.046999454498291016
71,0.04655575752258301
72,0.04699969291687012
73,0.04700040817260742
74,0.04699969291687012
75,0.04700016975402832
76,0.04658389091491699
77,0.047998905181884766
78,0.04700136184692383
79,0.04699993133544922
80,0.04658699035644531
81,0.04699850082397461
82,0.048002004623413086
83,0.04699969291687012
84,0.04657578468322754
85,0.04700016975402832
86,0.04699850082397461
87,0.04700136184692383
88,0.04757881164550781
89,0.04800057411193848
90,0.04699993133544922
91,0.046999216079711914
92,0.04599881172180176
93,0.04723811149597168
94,0.046999454498291016
95,0.04802823066711426
96,0.04797101020812988
97,0.04723691940307617
98,0.04700160026550293
99,0.0479733943939209
100,0.04699969291687012
